,time,event
0,16331.048263888892,1
1,16331.111458333333,0
2,16331.159444444444,1
3,16331.163877314817,3
4,16331.166087962964,1
5,16331.167627314817,1
6,16331.169027777778,1
7,16331.170682870368,3
8,16331.172453703704,1
9,16337.720486111111,2
10,16337.89898148148,2
11,16337.89898148148,5
12,16343.989016203703,2
13,16358.248611111108,6
14,16361.385717592593,1
15,16366.58181712963,1
16,16366.58181712963,1
17,16366.58181712963,1
18,16366.58181712963,1
19,16366.582534722222,1
20,16366.583402777778,1
21,16366.584224537037,1
22,16366.58671296296,1
23,16366.597916666668,6
24,16366.645208333333,3
25,16366.650057870369,3
26,16372.67238425926,1
27,16372.679861111112,6
28,16391.994027777782,4
29,16391.994282407406,4
30,16392.027534722223,4
31,16392.049293981483,4
32,16392.049317129633,4
33,16392.049317129633,4
34,16392.07252314815,4
35,16392.183368055557,4
36,16392.183564814815,4
37,16392.19050925926,4
38,16392.206041666668,4
39,16392.206157407407,4
40,16392.206157407407,4
41,16392.216666666667,6
42,16392.234074074073,4
43,16392.234074074073,4
44,16392.23439814815,4
45,16392.235462962963,4
46,16407.995925925927,2
47,16412.20435185185,2
48,16420.206111111107,0
49,16431.12560185185,2
50,16431.12560185185,5
51,16450.412025462963,0
52,16452.077002314814,2
53,16452.078113425927,2
54,16452.078680555554,3
55,16452.27259259259,4
56,16452.272719907407,4
57,16452.283333333333,6
58,16452.379571759262,4
59,16456.980868055554,0
60,16457.152384259258,0
61,16458.301747685186,0
62,16458.320833333335,6
63,16459.43938657408,2
64,16459.43938657408,5
65,16459.439537037037,5
66,16459.44009259259,2
67,16459.44009259259,5
68,16459.44050925926,2
69,16459.44050925926,5
70,16459.440659722222,5
71,16459.441701388892,2
72,16459.441701388892,5
73,16460.975243055556,0
74,16461.632037037038,1
75,16464.84592592592,1
76,16464.858333333334,6
77,16467.272233796295,0
78,16468.076956018518,0
79,16473.13045138889,2
80,16473.131712962964,3
81,16473.13195601852,3
82,16483.110393518517,2
83,16483.110393518517,5
84,16483.11042824074,5
85,16485.830474537037,4
86,16485.830613425926,4
87,16485.830752314814,4
88,16485.97894675926,4
89,16503.176701388893,2
90,16503.176701388893,5
91,16503.176724537036,5
92,16506.78009259259,4
93,16506.780231481483,4
94,16506.780231481483,4
95,16506.987881944446,4
96,16506.988032407407,4
97,16510.653587962963,2
98,16510.680833333332,2
99,16510.692743055555,2
100,16510.726655092592,2
101,16510.77888888889,2
102,16510.79,2
103,16510.940520833334,2
104,16511.06556712963,2
105,16511.06876157408,2
106,16511.074421296296,2
107,16511.08636574074,2
108,16511.091666666667,2
109,16511.09375,3
110,16511.093888888892,0
111,16511.09400462963,3
112,16511.09414351852,0
113,16511.106087962962,0
114,16515.442650462963,2
115,16515.442650462963,5
116,16517.98248842592,4
117,16517.982604166667,4
118,16517.982604166667,4
119,16518.148680555554,4
120,16520.89023148148,2
121,16520.89023148148,5
122,16521.325497685186,4
123,16521.338101851852,4
124,16522.37153935185,4
125,16522.37167824074,4
126,16522.37167824074,4
127,16523.180752314816,4
