,time,event
0,2,3
1,2,1
2,3,36
3,3,32
4,10,18
5,12,3
6,15,1
7,16,18
8,17,1
9,17,54
10,18,3
11,18,18
12,18,1
13,19,18
14,19,1
15,20,3
16,20,18
17,20,11
18,21,1
19,22,4
20,22,25
21,22,3
22,22,18
23,32,18
24,33,1
25,34,18
26,35,36
27,35,1
28,36,18
29,36,72
30,37,1
31,38,18
32,40,18
33,41,3
34,44,18
35,45,1
36,46,18
37,47,32
38,47,11
39,48,36
40,48,3
41,48,18
42,48,11
43,49,1
44,50,18
45,51,3
46,52,18
47,58,18
48,60,18
49,61,4
50,61,18
51,61,1
52,62,18
53,62,1
54,62,11
55,63,36
56,67,31
57,68,18
58,68,11
59,72,5
60,72,18
61,72,11
62,73,1
63,73,11
64,74,18
65,74,11
66,75,1
67,76,18
68,76,72
69,78,25
70,78,18
71,78,1
72,79,36
73,79,11
74,80,18
75,82,3
76,82,18
77,86,18
78,93,18
79,93,11
80,94,18
81,94,11
82,95,36
83,95,18
84,95,1
85,95,9
86,96,18
87,98,3
88,100,18
89,100,1
90,100,11
91,101,32
92,102,18
93,103,3
94,104,4
95,104,3
96,104,11
97,107,1
98,108,18
99,109,1
100,110,3
101,110,18
102,111,5
103,114,18
104,114,11
105,115,1
106,116,18
107,117,18
108,117,54
109,118,4
110,118,18
111,122,18
112,123,36
113,123,1
114,124,18
115,127,25
116,127,3
117,130,18
118,130,72
119,132,36
120,132,18
121,132,11
122,133,3
123,134,18
124,135,1
125,136,18
126,137,3
127,138,18
128,138,11
129,141,4
130,141,24
131,141,18
132,141,11
133,142,36
134,142,18
135,143,1
136,144,18
137,145,11
138,146,18
139,147,1
140,148,18
141,148,11
142,149,3
143,149,1
144,150,18
145,150,11
146,152,18
147,154,23
148,154,8
149,156,18
150,157,36
151,157,1
152,157,11
153,158,18
154,158,11
155,159,36
156,159,18
157,159,11
158,160,18
159,160,11
160,161,3
161,163,18
162,164,18
163,165,1
164,166,3
165,166,18
166,167,21
167,167,13
168,167,11
169,170,10
170,173,101
171,177,21
172,177,3
173,178,72
174,183,13
175,183,18
176,184,18
177,184,1
178,185,18
179,185,1
180,185,72
181,186,18
182,187,3
183,187,1
184,188,18
185,188,11
186,190,15
187,190,18
188,191,25
189,191,11
190,192,36
191,192,18
192,192,11
193,194,18
194,194,11
195,197,3
196,198,18
197,198,72
198,199,1
199,201,1
200,202,18
201,202,11
202,203,1
203,204,18
204,205,1
205,205,11
206,206,18
207,207,3
208,207,1
209,208,3
210,208,18
211,212,18
212,212,11
213,213,1
214,213,54
215,214,18
216,215,3
217,215,1
218,216,4
219,216,18
220,216,1
221,217,1
222,220,4
223,220,18
224,220,11
225,221,3
226,221,18
227,222,18
228,226,18
229,226,72
230,227,35
231,227,18
232,228,18
233,229,3
234,229,11
235,230,18
236,232,4
237,232,18
238,233,3
239,233,1
240,234,11
241,236,18
242,236,11
243,237,3
244,240,11
245,241,18
246,241,83
247,241,1
248,242,4
249,242,18
250,242,11
251,243,1
252,244,18
253,244,1
254,245,72
255,246,18
256,247,1
257,248,25
258,248,18
259,250,18
260,254,18
261,255,1
262,256,18
263,256,11
264,258,18
265,258,1
266,258,72
267,260,36
268,260,18
269,261,18
270,261,1
271,262,18
272,262,11
273,263,18
274,263,1
275,264,11
276,266,3
277,268,18
278,269,4
