,time,event0,event1,event2,event3,event4,event5
0,0.0,desktop,16,0.0,2.0,3.0,2.0
1,2.0,desktop,16,3.0,3.0,1.0,3.0
2,5.0,tablet,16,4.0,1.0,2.0,1.0
3,6.0,tablet,16,6.0,2.0,1.0,2.0
4,8.0,tablet,16,7.0,1.0,1.0,1.0
5,9.0,tablet,16,8.0,1.0,2.0,1.0
6,10.0,tablet,16,10.0,2.0,3.0,2.0
7,12.0,tablet,16,13.0,3.0,2.0,3.0
8,15.0,tablet,16,15.0,2.0,1.0,2.0
9,17.0,tablet,16,16.0,1.0,1.0,1.0
10,18.0,tablet,16,17.0,129.0,130.0,1.0
11,147.0,desktop,16,147.0,2.0,3.0,2.0
12,149.0,desktop,16,150.0,3.0,3.0,3.0
13,152.0,desktop,16,153.0,3.0,2.0,3.0
14,155.0,tablet,16,155.0,2.0,4.0,2.0
