,cluster_id
0,1
1,0
2,0
3,0
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,1
80,0
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,1
118,0
119,1
120,0
121,1
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,0
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,0
269,1
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,0
287,1
288,0
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,0
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,1
347,0
348,0
349,1
350,1
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,1
363,0
364,0
365,1
366,1
367,1
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,0
408,0
409,0
410,1
411,1
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,1
425,0
426,0
427,1
428,1
429,1
430,0
431,0
432,1
433,0
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,0
443,0
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,1
453,0
454,1
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,0
505,0
506,1
507,0
508,0
509,0
510,1
511,1
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,0
530,0
531,1
532,1
533,0
534,1
535,0
536,0
537,1
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,1
560,0
561,1
562,1
563,0
564,0
565,0
566,0
567,0
568,1
569,1
570,0
571,0
572,0
573,1
574,1
575,0
576,0
577,0
578,1
579,0
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,0
589,1
590,0
591,0
592,1
593,0
594,0
595,0
596,1
597,0
598,1
599,1
600,1
601,1
602,1
603,1
604,0
605,1
606,1
607,0
608,0
609,1
610,1
611,0
612,0
613,0
614,1
615,0
616,0
617,0
618,1
619,0
620,1
621,0
622,1
623,1
624,0
625,0
626,0
627,0
628,1
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,1
639,0
640,1
641,0
642,1
643,0
644,1
645,1
646,1
647,0
648,1
649,0
650,0
651,0
652,1
653,0
654,0
655,0
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,1
664,1
665,0
666,1
667,1
668,1
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,0
677,0
678,0
679,0
680,0
681,1
682,1
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,0
695,0
696,0
697,1
698,1
699,0
700,0
701,0
702,1
703,0
704,0
705,1
706,0
707,0
708,1
709,1
710,1
711,1
712,1
713,1
714,0
715,0
716,0
717,0
718,1
719,0
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,1
728,1
729,1
730,0
731,1
732,1
733,0
734,1
735,1
736,1
737,0
738,1
739,0
740,0
741,0
742,0
743,1
744,1
745,0
746,0
747,1
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,1
759,1
760,0
761,0
762,1
763,1
764,0
765,0
766,1
767,1
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,1
784,0
785,1
786,0
787,0
788,1
789,0
790,0
791,1
792,1
793,1
794,0
795,0
796,0
797,1
798,0
799,0
800,1
801,0
802,0
803,0
804,1
805,1
806,1
807,0
808,1
809,1
810,0
811,1
812,0
813,1
814,1
815,0
816,0
817,1
818,1
819,0
820,0
821,0
822,1
823,1
824,1
825,0
826,1
827,1
828,1
829,1
830,1
831,0
832,0
833,0
834,1
835,0
836,0
837,1
838,0
839,0
840,1
841,1
842,1
843,0
844,1
845,1
846,1
847,1
848,0
849,0
850,0
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,0
859,1
860,1
861,0
862,0
863,0
864,0
865,0
866,1
867,0
868,1
869,0
870,0
871,1
872,1
873,1
874,0
875,0
876,0
877,0
878,0
879,0
880,1
881,0
882,0
883,0
884,1
885,0
886,0
887,0
888,1
889,1
890,1
891,1
892,0
893,0
894,0
895,1
896,0
897,1
898,0
899,0
900,1
901,0
902,1
903,1
904,1
905,1
906,0
907,0
908,0
909,0
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,1
922,0
923,1
924,1
925,0
926,1
927,1
928,0
929,0
930,1
931,1
932,0
933,0
934,1
935,0
936,0
937,0
938,1
939,0
940,1
941,1
942,1
943,1
944,0
945,0
946,1
947,1
948,1
949,0
950,1
951,1
952,1
953,0
954,0
955,0
956,1
957,1
958,1
959,1
960,0
961,0
962,0
963,1
964,1
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,0
979,1
980,0
981,0
982,1
983,0
984,1
985,0
986,1
987,0
988,0
989,1
990,0
991,1
992,1
993,0
994,1
995,0
996,1
997,0
998,0
999,1
1000,0
1001,0
1002,1
1003,1
1004,0
1005,1
1006,1
1007,1
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,1
1018,0
1019,1
1020,0
1021,0
1022,1
1023,1
1024,1
1025,1
1026,0
1027,0
1028,0
1029,1
1030,1
1031,1
1032,0
1033,0
1034,1
1035,0
1036,0
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,1
1062,0
1063,0
1064,1
1065,0
1066,0
1067,1
1068,0
1069,1
1070,0
1071,0
1072,0
1073,1
1074,1
1075,0
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,1
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1
1090,1
1091,1
1092,0
1093,0
1094,1
1095,0
1096,0
1097,0
1098,1
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,1
1106,0
1107,0
1108,1
1109,0
1110,0
1111,0
1112,0
1113,1
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,1
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,1
1129,1
1130,0
1131,0
1132,1
1133,1
1134,1
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,1
1157,1
1158,1
1159,0
1160,1
1161,1
1162,0
1163,0
1164,0
1165,1
1166,0
1167,1
1168,1
1169,0
1170,0
1171,1
1172,0
1173,0
1174,1
1175,0
1176,1
1177,0
1178,1
1179,0
1180,0
1181,0
1182,0
1183,1
1184,1
1185,1
1186,1
1187,0
1188,0
1189,0
1190,0
1191,1
1192,1
1193,1
1194,1
1195,0
1196,1
1197,1
1198,1
1199,1
1200,0
1201,1
1202,0
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,0
1213,0
1214,1
1215,1
1216,1
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,1
1224,1
1225,0
1226,1
1227,0
1228,1
1229,0
