,time,event
0,16325.383692129632,2
1,16325.53230324074,1
2,16378.112511574074,0
3,16378.112650462965,0
4,16378.131851851853,0
5,16396.17013888889,6
6,16451.067013888893,0
7,16461.337175925924,0
8,16464.293541666666,4
9,16464.293761574074,4
10,16464.310104166667,4
11,16464.310243055555,4
12,16464.310243055555,4
13,16470.248171296298,0
14,16483.306608796298,0
15,16494.3325,0
16,16496.139583333334,6
17,16498.233784722222,4
18,16498.271979166668,4
19,16506.14116898148,0
20,16519.183414351854,2
21,16520.404733796295,1
22,16520.452824074073,1
23,16520.453090277777,1
24,16521.08512731482,1
25,16521.086122685185,1
26,16521.086122685185,1
27,16521.086122685185,1
28,16521.20157407408,1
29,16526.02834490741,2
