,cluster_id
0,2
1,3
2,4
3,5
4,5
5,5
6,1
7,5
8,3
9,4
10,3
11,3
12,4
13,1
14,3
15,5
16,0
17,1
18,3
19,3
20,4
21,0
22,1
23,1
24,1
25,1
26,3
27,4
28,5
29,3
30,4
31,4
32,5
33,3
34,3
35,1
36,1
37,3
38,1
39,3
40,4
41,5
42,5
43,0
44,3
45,3
46,3
47,3
48,1
49,5
50,0
51,1
52,0
53,4
54,0
55,1
56,0
57,5
58,3
59,3
60,3
61,3
62,5
63,0
64,3
65,3
66,0
67,3
68,2
69,0
70,1
71,1
72,1
73,4
74,4
75,0
76,5
77,5
78,5
79,0
80,3
81,0
82,0
83,1
84,5
85,1
86,3
87,0
88,4
89,3
90,1
91,2
92,0
93,0
94,3
95,2
96,3
97,1
98,0
99,4
100,0
101,1
102,0
103,0
104,0
105,1
106,1
107,0
108,3
109,1
110,1
111,3
112,1
113,0
114,1
115,1
116,3
117,1
118,0
119,3
120,1
121,1
122,5
123,1
124,0
125,1
126,5
127,1
128,1
129,3
130,1
131,0
132,3
133,1
134,0
135,3
136,0
137,0
138,4
139,0
140,4
141,1
142,0
143,1
144,0
145,0
146,0
147,3
148,1
149,3
150,2
151,1
152,3
153,0
154,0
155,0
156,0
157,1
158,5
159,0
160,0
161,0
162,3
163,0
164,1
165,1
166,3
167,1
168,1
169,3
170,0
171,3
172,5
173,5
174,5
175,3
176,3
177,4
178,0
179,0
180,3
181,4
182,3
183,5
184,0
185,5
186,5
187,3
188,0
189,1
190,1
191,5
192,1
193,1
194,1
195,4
196,0
197,0
198,4
199,0
200,1
201,1
202,3
203,2
204,0
205,1
206,0
207,1
208,0
209,3
210,1
211,0
212,0
213,0
214,1
215,1
216,1
217,3
218,0
219,0
220,1
221,5
222,4
223,4
224,3
225,3
226,3
227,1
228,0
229,1
230,3
231,0
232,1
233,3
234,0
235,2
236,3
237,5
238,3
239,0
240,2
241,5
242,2
243,1
244,0
245,4
246,3
247,0
248,0
249,3
250,4
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,4
259,1
260,3
261,1
262,1
263,1
264,1
265,5
266,1
267,1
268,5
269,1
270,1
271,0
272,3
273,5
274,2
275,0
276,3
277,5
278,0
279,1
280,4
281,3
282,3
283,1
284,1
285,3
286,3
287,3
288,0
289,5
290,2
291,1
292,0
293,3
294,2
295,1
296,1
297,3
298,1
299,0
300,5
301,1
302,0
303,3
304,0
305,3
306,0
307,2
308,3
309,4
310,0
311,0
312,4
313,3
314,3
315,3
316,3
317,3
318,1
319,3
320,0
321,3
322,4
323,1
324,1
325,1
326,3
327,3
328,1
329,0
330,1
331,4
332,3
333,4
334,3
335,0
336,0
337,3
338,4
339,1
340,1
341,3
342,1
343,4
344,3
345,4
346,3
347,0
348,1
349,4
350,1
351,5
352,4
353,1
354,1
355,1
356,3
357,3
358,0
359,0
360,1
361,3
362,0
363,1
364,0
365,1
366,2
367,2
368,1
369,2
370,3
371,3
372,0
373,4
374,4
375,1
376,0
377,5
378,5
379,4
380,1
381,0
382,0
383,0
384,3
385,0
386,5
387,5
388,5
389,0
390,4
391,3
392,3
393,4
394,3
395,1
396,4
397,5
398,4
399,1
400,5
401,0
402,4
403,0
404,5
405,1
406,1
407,0
408,0
409,2
410,1
411,3
412,3
413,5
414,2
415,3
416,0
417,5
418,1
419,3
420,3
421,1
422,0
423,1
424,0
425,4
426,4
427,4
428,1
429,3
430,4
431,1
432,1
433,5
434,1
435,0
436,3
437,0
438,1
439,4
440,1
441,3
442,0
443,5
444,0
445,1
446,5
447,1
448,1
449,2
450,0
451,1
452,0
453,3
454,3
455,3
456,1
457,2
458,1
459,0
460,1
461,3
462,3
463,4
464,5
465,3
466,0
467,3
468,0
469,0
470,5
471,1
472,1
473,1
474,4
475,0
476,4
477,0
478,0
479,3
480,0
481,1
482,4
483,1
484,1
485,0
486,3
487,4
488,5
489,0
490,3
491,0
492,3
493,0
494,1
495,3
496,5
497,2
498,3
499,1
500,0
501,3
502,1
503,3
504,0
505,4
506,4
507,4
508,0
509,0
510,1
511,1
512,0
513,1
514,2
515,1
516,1
517,3
518,1
519,1
520,2
521,4
522,0
523,5
524,1
525,3
526,3
527,0
528,3
529,3
530,1
531,0
532,0
533,4
534,4
535,2
536,4
537,3
538,0
539,1
540,3
541,1
542,1
543,0
544,3
545,1
546,3
547,0
548,5
549,3
550,1
551,3
552,0
553,0
554,1
555,1
556,3
557,3
558,1
559,3
560,1
561,1
562,1
563,1
564,3
565,5
566,1
567,0
568,5
569,1
570,5
571,2
572,0
573,1
574,3
575,4
576,3
577,1
578,1
579,0
580,4
581,4
582,1
