,time,event
0,0,4
1,0,11
2,2,3
3,3,34
4,4,34
5,5,1
6,5,9
7,7,3
8,8,98
9,9,3
10,11,76
11,14,3
12,15,9
13,17,76
14,18,3
15,21,34
16,21,36
17,21,2
18,21,76
19,21,1
20,21,9
21,22,1
22,23,1
23,24,34
24,24,3
25,26,1
26,29,2
27,29,9
28,30,3
29,30,1
30,30,9
31,31,9
32,33,28
33,33,1
34,33,50
35,34,50
36,35,34
37,35,4
38,35,50
39,36,3
40,37,43
41,38,3
42,39,76
43,43,4
44,43,3
45,43,98
46,43,9
47,44,9
48,45,43
49,45,3
50,47,15
51,47,1
52,49,76
53,49,1
54,50,3
55,51,34
56,52,9
57,57,3
58,57,1
59,58,9
60,59,1
61,59,70
62,61,63
63,61,2
64,65,1
65,66,57
66,66,3
67,66,1
68,66,9
69,68,9
70,69,3
71,69,9
72,70,34
73,71,1
74,72,34
75,74,3
76,75,36
77,75,1
78,76,61
79,77,21
80,77,98
81,77,9
82,78,1
83,80,98
84,80,1
85,80,70
86,81,3
87,82,4
88,82,1
89,85,3
90,85,9
91,86,9
92,87,1
93,88,5
94,88,34
95,88,1
96,89,3
97,109,24
98,109,1
99,110,1
100,111,1
101,114,1
102,117,3
103,122,21
104,122,3
105,122,1
106,122,9
107,125,3
108,126,2
109,126,1
110,127,3
111,127,9
112,128,34
113,131,1
114,132,3
115,136,1
116,137,4
117,137,2
118,137,3
119,138,1
120,140,3
121,141,2
122,141,1
123,141,9
124,142,1
125,142,9
126,144,1
127,145,2
128,146,3
129,146,50
130,148,9
131,149,61
132,150,2
133,150,9
134,151,9
135,152,3
136,154,3
137,156,9
138,159,3
139,159,8
140,161,9
141,165,3
142,167,34
143,169,1
144,171,1
145,172,25
146,173,3
147,174,9
148,178,57
149,178,2
150,179,3
151,179,1
152,181,3
153,183,2
154,183,35
155,184,1
156,184,9
157,188,9
158,189,3
159,190,3
160,192,2
161,193,9
162,194,34
163,194,3
164,197,3
165,199,1
166,199,9
167,200,3
168,202,3
169,205,5
170,205,3
171,207,1
172,207,9
173,220,1
174,221,36
175,221,46
176,221,98
177,224,63
178,225,3
179,225,1
180,226,43
181,231,1
182,233,3
183,235,2
184,238,3
185,239,6
186,239,63
187,258,2
188,259,3
189,259,1
190,262,15
191,262,1
192,267,3
193,267,1
194,269,3
195,271,3
196,271,1
197,273,3
198,277,31
199,277,57
200,278,1
201,282,9
202,283,36
203,283,3
204,283,1
205,284,36
206,285,15
207,287,98
208,287,1
209,293,3
210,296,98
211,299,4
212,299,1
213,299,9
214,300,1
215,301,1
216,301,9
217,303,3
218,304,2
219,307,3
220,313,15
221,313,3
222,313,1
223,316,1
224,317,1
225,318,3
226,318,1
227,319,3
228,319,9
229,320,3
230,323,15
231,323,24
232,323,1
233,324,4
234,324,2
235,324,1
236,324,9
237,327,1
238,327,9
239,331,1
240,332,35
241,333,22
242,333,2
243,333,3
244,333,35
245,333,1
246,334,35
247,339,3
248,339,1
249,341,61
250,341,25
251,341,26
252,343,1
253,343,9
254,344,3
255,347,3
256,348,3
257,349,3
258,349,1
259,351,4
260,351,28
261,351,11
262,352,9
263,354,3
264,355,98
265,357,2
266,359,46
267,359,24
268,360,4
269,360,36
270,360,1
271,360,9
272,361,9
273,362,9
274,363,36
275,363,15
276,363,1
277,364,61
278,364,39
279,364,3
280,366,61
281,366,25
282,366,3
283,366,1
284,367,25
285,369,3
286,370,9
287,373,4
288,373,3
289,374,1
290,377,9
291,378,3
292,378,1
293,379,3
294,379,9
295,380,1
296,381,3
297,383,2
298,383,1
299,384,1
300,388,4
301,388,2
302,389,15
303,389,9
304,392,5
305,393,15
306,393,1
307,394,22
308,394,15
309,397,57
310,397,2
311,397,1
312,398,15
313,399,25
314,399,1
315,400,15
316,400,3
317,401,3
318,401,1
319,401,11
320,402,15
321,403,36
322,403,15
323,403,1
324,403,54
325,403,9
326,404,15
327,404,1
328,405,15
329,405,1
330,406,4
331,406,15
332,406,1
333,407,36
334,407,15
335,407,1
336,408,36
337,408,15
338,408,23
339,408,1
340,409,15
341,409,3
342,409,44
343,409,1
344,410,1
345,411,2
346,412,15
347,412,2
348,412,11
349,413,63
350,413,15
351,413,3
352,413,11
353,414,15
354,414,1
355,416,15
356,417,36
357,417,15
358,417,2
359,417,35
360,417,1
361,417,9
362,418,3
363,419,54
364,420,2
365,420,1
366,421,11
367,423,4
368,424,4
369,424,15
370,424,24
371,424,1
372,425,15
373,425,1
374,426,57
375,426,3
376,426,1
377,427,36
378,428,15
379,429,1
380,430,15
381,430,2
382,430,3
383,430,1
384,434,15
385,434,3
386,435,15
387,436,15
388,436,54
389,439,4
390,439,3
391,439,1
392,441,15
393,441,3
394,441,1
395,441,9
396,442,3
397,444,4
398,444,1
399,445,4
400,445,3
401,447,4
402,447,15
403,448,1
404,448,9
405,449,1
406,450,2
407,450,1
408,450,9
409,451,24
410,452,61
411,452,24
412,452,1
413,458,36
414,458,1
415,458,9
416,459,43
417,459,9
418,463,2
419,464,1
420,467,63
421,475,15
422,475,1
423,478,4
424,478,36
425,478,15
426,479,36
427,479,3
428,484,15
429,485,3
430,486,2
431,487,9
432,488,3
433,490,46
434,490,1
435,491,15
436,491,1
437,492,15
438,492,1
439,493,15
440,493,1
441,495,1
442,495,10
443,497,9
444,499,15
445,500,2
446,500,1
447,501,11
448,502,1
449,503,15
450,503,1
451,504,4
452,504,15
453,504,2
454,504,1
455,504,11
456,505,21
457,505,15
458,505,1
459,506,36
460,506,25
461,506,65
462,506,1
463,506,9
464,506,11
465,507,1
466,509,2
467,510,26
468,510,1
469,510,9
470,512,15
471,513,4
472,513,15
473,513,1
474,515,15
475,515,1
476,516,15
477,517,1
478,518,1
479,519,25
480,519,15
481,519,1
482,519,10
483,520,1
484,521,1
485,522,61
486,522,3
487,523,15
488,523,3
489,523,1
490,525,15
491,525,2
492,525,1
493,525,11
494,526,15
495,528,21
496,528,36
497,528,1
498,529,1
499,529,11
500,530,1
501,531,15
502,532,1
503,534,1
504,535,103
505,535,15
506,537,25
507,537,2
508,537,1
509,537,11
510,538,1
511,538,11
512,539,2
513,539,1
514,540,3
515,541,3
516,542,1
517,542,11
518,543,1
519,546,63
520,546,3
521,546,1
522,547,1
523,548,2
524,550,46
525,551,61
526,551,15
527,551,1
528,552,1
529,552,12
530,552,11
531,553,15
532,553,1
533,554,15
534,555,15
535,556,1
536,557,36
537,557,2
538,557,1
539,557,11
540,558,15
541,558,1
542,559,15
543,559,1
544,561,4
545,561,1
546,561,9
547,561,11
548,563,4
549,563,1
550,564,15
551,564,65
552,564,1
553,564,12
554,565,18
555,566,4
556,570,63
557,570,3
558,572,15
559,572,18
560,573,1
561,574,12
562,575,33
563,575,1
564,576,3
565,577,3
566,580,15
567,581,15
568,582,15
569,582,9
570,582,11
571,584,4
572,584,15
573,584,18
574,584,12
575,585,4
576,586,25
577,586,15
578,586,1
579,587,11
580,588,15
581,588,3
582,590,2
583,590,33
584,590,1
585,590,50
586,592,15
587,593,15
588,593,1
589,595,36
590,595,15
591,595,2
592,595,1
593,595,11
594,596,15
595,596,1
596,596,12
597,599,15
598,600,1
599,604,36
600,604,15
601,604,1
602,608,1
603,609,4
604,609,36
605,609,15
606,609,1
607,610,3
608,610,12
609,612,1
610,613,2
611,614,15
612,614,3
613,614,1
614,615,15
615,615,24
616,615,1
617,617,1
618,617,11
619,618,36
620,618,1
621,620,1
622,621,1
623,621,11
624,622,89
625,622,1
626,622,11
627,623,15
628,623,1
629,624,1
630,624,50
631,625,15
632,625,2
633,625,1
634,626,15
635,626,3
636,626,26
637,626,1
638,628,15
639,629,1
640,630,5
641,631,4
642,631,23
643,631,1
644,631,11
645,632,15
646,632,1
647,633,3
648,634,25
649,634,1
650,635,15
651,635,2
652,636,1
653,638,1
654,639,1
655,640,46
656,640,1
657,640,11
658,641,1
659,642,1
660,643,15
661,644,4
662,644,1
663,645,2
664,645,1
665,645,9
666,646,25
667,646,15
668,646,1
669,646,11
670,648,36
671,648,1
672,649,4
673,649,36
674,649,1
675,650,125
676,651,63
677,652,15
678,653,15
679,653,1
680,654,4
681,654,2
682,654,3
683,654,1
684,654,11
685,655,1
686,656,1
687,657,15
688,657,3
689,658,15
690,663,1
691,664,15
692,664,1
693,664,11
694,667,63
695,667,36
696,668,15
697,668,3
698,669,24
699,669,9
700,670,23
701,670,24
702,670,18
703,672,3
704,674,43
705,675,25
706,675,18
707,676,5
708,676,15
709,677,24
710,678,1
711,679,1
712,679,11
713,680,25
714,680,3
715,681,4
716,681,25
717,681,15
718,681,3
719,682,11
720,683,36
721,683,15
722,683,2
723,683,69
724,683,1
725,683,11
726,684,15
727,685,15
728,686,1
729,687,15
730,687,1
731,687,11
732,688,33
733,689,25
734,690,15
735,690,1
736,691,11
737,692,5
738,693,2
739,694,25
740,695,25
741,695,15
742,696,25
743,696,56
744,697,63
745,697,15
746,697,1
747,698,1
748,700,63
749,703,36
750,703,1
751,706,11
752,707,1
753,708,3
754,709,15
755,709,54
756,710,4
757,710,15
758,710,18
759,710,11
760,711,2
761,711,24
762,711,11
763,712,4
764,712,25
765,712,15
766,712,24
767,713,15
768,714,15
769,714,1
770,715,1
771,715,11
772,716,2
773,716,1
774,717,12
775,718,25
776,718,1
777,719,15
778,722,25
779,723,25
780,724,1
781,726,25
782,726,15
783,726,3
784,726,1
785,727,25
786,728,25
787,728,1
788,729,15
789,729,2
790,729,1
