,time,event
0,2,31
1,3,9
2,4,1
3,6,3
4,8,1
5,11,1
6,14,3
7,19,1
8,20,25
9,20,3
10,24,4
11,24,1
12,25,25
13,25,1
14,31,24
15,31,1
16,32,25
17,33,80
18,33,1
19,33,9
20,34,4
21,34,106
22,36,31
23,36,1
24,37,9
25,38,1
26,39,1
27,39,11
28,40,3
29,41,4
30,43,4
31,43,1
32,44,1
33,45,1
34,46,25
35,49,1
36,50,4
37,50,3
38,50,1
39,53,80
40,57,25
41,58,25
42,59,3
43,60,3
44,60,1
45,61,1
46,63,3
47,63,1
48,64,25
49,71,1
50,72,1
51,74,1
52,75,25
53,75,1
54,76,36
55,76,3
56,76,1
57,77,1
58,78,106
59,82,3
60,88,3
61,92,1
62,94,16
63,94,3
64,94,9
65,95,1
66,97,11
67,103,3
68,104,31
69,105,3
70,108,9
71,109,3
72,109,1
73,110,1
74,110,12
75,110,11
76,113,4
77,114,18
78,114,1
79,115,1
80,116,81
81,116,3
82,116,1
83,116,9
84,118,2
85,118,92
86,119,1
87,119,9
88,120,106
89,120,1
90,120,9
91,121,16
92,121,1
93,121,92
94,122,1
95,122,12
96,123,3
97,123,11
98,124,1
99,124,92
100,124,11
101,130,25
102,131,3
103,133,1
104,134,25
105,135,3
106,135,1
107,136,3
108,137,1
109,140,55
110,142,3
111,150,3
112,151,3
113,152,24
114,152,9
115,153,1
116,153,9
117,155,3
118,156,24
119,157,1
120,159,3
121,164,3
122,167,3
123,171,15
124,171,1
125,172,3
126,173,1
127,175,3
128,177,16
129,180,4
130,181,3
131,181,9
132,182,3
133,182,1
134,183,3
135,183,12
136,184,1
137,186,1
138,187,3
139,190,2
140,191,3
141,197,3
142,197,1
143,198,3
144,200,11
145,201,3
146,201,11
147,202,1
148,203,1
149,203,9
150,207,15
151,207,1
152,210,3
153,211,15
154,212,3
155,212,1
156,212,12
157,213,3
158,214,3
159,215,15
160,215,1
161,215,11
162,216,15
163,217,16
164,217,1
165,217,12
166,218,3
167,218,11
168,221,15
169,223,1
170,225,15
171,228,25
172,230,1
173,232,4
174,232,25
175,233,15
176,233,11
177,234,22
178,235,3
179,243,15
180,243,1
181,244,1
182,245,1
183,245,12
184,246,11
185,253,12
186,254,25
187,254,9
188,255,25
189,261,15
190,261,3
191,261,11
192,262,15
193,263,4
