,cluster_id
0,2
1,10
2,2
3,9
4,10
5,9
6,2
7,4
8,5
9,4
10,2
11,10
12,2
13,2
14,2
15,9
16,2
17,10
18,9
19,10
20,10
21,10
22,10
23,2
24,2
25,5
26,4
27,12
28,4
29,8
30,12
31,2
32,9
33,2
34,7
35,10
36,2
37,10
38,2
39,7
40,10
41,10
42,4
43,10
44,12
45,10
46,4
47,10
48,10
49,2
50,2
51,7
52,10
53,10
54,9
55,4
56,2
57,2
58,4
59,2
60,9
61,7
62,9
63,10
64,9
65,2
66,2
67,2
68,2
69,10
70,7
71,9
72,9
73,10
74,0
75,2
76,2
77,2
78,2
79,2
80,2
81,7
82,2
83,4
84,10
85,2
86,10
87,2
88,7
89,2
90,7
91,2
92,9
93,4
94,0
95,2
96,9
97,4
98,2
99,3
100,10
101,2
102,9
103,2
104,2
105,9
106,7
107,0
108,7
109,10
110,2
111,4
112,2
113,0
114,10
115,7
116,2
117,10
118,2
119,10
120,2
121,2
122,10
123,7
124,4
125,7
126,2
127,2
128,10
129,4
130,10
131,9
132,9
133,5
134,2
135,2
136,10
137,2
138,9
139,10
140,10
141,4
142,2
143,10
144,4
145,1
146,10
147,9
148,9
149,2
150,2
151,9
152,2
153,7
154,3
155,7
156,7
157,1
158,10
159,12
160,9
161,2
162,12
163,2
164,2
165,4
166,12
167,9
168,2
169,2
170,10
171,10
172,2
173,6
174,10
175,2
176,3
177,2
178,2
179,7
180,7
181,4
182,2
183,9
184,10
185,12
186,4
187,4
188,10
189,12
190,12
191,2
192,2
193,2
194,10
195,4
196,2
197,2
198,12
199,10
200,5
201,10
202,4
203,12
204,12
205,11
206,7
207,12
208,9
209,0
210,2
211,9
212,4
213,9
214,2
215,9
216,2
217,2
218,10
219,2
220,7
221,4
222,4
223,10
224,5
225,10
226,10
227,10
228,7
229,9
230,2
231,10
232,7
233,2
234,10
235,2
236,10
237,12
238,12
239,2
240,5
241,4
242,2
243,2
244,10
245,4
246,0
247,10
248,2
249,12
250,2
251,10
252,9
253,1
254,2
255,9
256,10
257,10
258,10
259,10
260,10
261,5
262,9
263,0
264,10
265,2
266,2
267,2
268,4
269,10
270,10
271,7
272,8
273,2
274,9
275,2
276,2
277,4
278,9
279,10
280,4
281,0
282,2
283,12
284,10
285,10
286,10
287,2
288,10
289,2
290,2
291,10
292,9
293,2
294,10
295,10
296,9
297,2
298,2
299,4
300,10
301,2
