,checkin,city_id
12020,0.0,17127
12021,9.0,11052
12022,13.0,35411
12023,14.0,1034
12024,15.0,24416
12025,16.0,17127
12026,18.0,55128
12027,19.0,64876
12028,54.0,29770
12029,55.0,53829
12030,56.0,28968
12031,57.0,4021
12032,58.0,0
12033,62.0,29703
12034,63.0,2654
12035,64.0,20044
12036,66.0,21267
12037,84.0,35210
12038,88.0,61931
12039,89.0,21741
12040,90.0,28968
12041,91.0,5845
12042,92.0,0
12043,110.0,55196
12044,111.0,2707
12045,112.0,21929
12046,123.0,2200
12047,124.0,64534
12048,136.0,17990
12049,176.0,52661
12050,185.0,43306
12051,186.0,62950
12052,189.0,46258
12053,198.0,64269
12054,199.0,33685
12055,200.0,29770
12056,204.0,0
12057,365.0,46258
12058,366.0,29770
12059,367.0,53363
12060,368.0,52818
