,cluster_id
0,1
1,2
2,4
3,1
4,1
5,5
6,1
7,4
8,1
9,1
10,2
11,1
12,1
13,2
14,1
15,4
16,1
17,4
18,1
19,3
20,1
21,3
22,1
23,2
24,5
25,3
26,4
27,3
28,3
29,2
30,1
31,3
32,1
33,2
34,1
35,4
36,1
37,1
38,3
39,1
40,3
41,2
42,4
43,1
44,1
45,1
46,3
47,4
48,2
49,1
50,2
51,1
52,3
53,2
54,1
55,1
56,2
57,5
58,1
59,4
60,1
61,3
62,1
63,1
64,2
65,1
66,1
67,5
68,2
69,1
70,1
71,1
72,1
73,1
74,4
75,4
76,1
77,2
78,1
79,2
80,2
81,2
82,2
83,1
84,2
85,5
86,3
87,2
88,5
89,1
90,1
91,1
92,1
93,3
94,3
95,4
96,2
97,4
98,1
99,1
100,2
101,1
102,5
103,1
104,1
105,1
106,1
107,4
108,1
109,4
110,4
111,4
112,3
113,3
114,5
115,4
116,3
117,2
118,4
119,3
120,1
121,3
122,3
123,3
124,4
125,4
126,1
127,3
128,2
129,1
130,1
131,1
132,1
133,4
134,2
135,1
136,2
137,2
138,2
139,5
140,2
141,1
142,2
143,1
144,4
145,1
146,2
147,4
148,1
149,2
150,2
151,1
152,3
153,2
154,5
155,1
156,1
157,3
158,1
159,2
160,2
161,1
162,1
163,1
164,1
165,3
166,1
167,1
168,4
169,1
170,2
171,4
172,2
173,1
174,1
175,1
176,3
177,1
178,1
179,1
180,1
181,3
182,4
183,3
184,2
185,1
186,1
187,3
188,3
189,1
190,1
191,2
192,2
193,2
194,5
195,3
196,3
197,1
198,2
199,4
200,2
201,5
202,1
203,4
204,1
205,2
206,3
207,1
208,1
209,1
210,1
211,2
212,2
213,3
214,1
215,2
216,1
217,2
218,1
219,1
220,2
221,3
222,1
223,3
224,3
225,1
226,2
227,5
228,5
229,1
230,0
231,1
232,2
233,2
234,1
235,1
236,1
237,3
238,4
239,1
240,2
241,4
242,5
243,5
244,1
245,5
246,3
247,1
248,2
249,3
250,1
251,1
252,2
253,1
254,2
255,2
256,1
257,1
258,1
259,2
260,5
261,2
262,1
263,4
264,1
265,4
266,1
267,2
268,2
269,4
270,1
271,1
272,1
273,2
274,3
275,1
276,3
277,5
278,1
279,1
280,1
281,2
282,1
283,1
284,2
285,0
286,1
287,1
288,1
289,2
290,1
291,4
292,3
293,4
294,2
295,4
296,0
297,4
298,1
299,1
300,4
301,1
302,1
303,1
304,5
305,1
306,3
307,2
308,1
309,1
310,2
311,1
312,4
313,1
314,2
315,2
316,1
317,3
318,1
319,4
320,5
321,5
322,2
323,1
324,2
325,5
326,2
327,3
328,5
329,3
330,1
331,1
332,0
333,1
334,3
335,1
336,2
337,3
338,2
339,4
340,3
341,1
342,4
343,1
344,4
345,1
346,1
347,5
348,1
349,5
350,3
351,1
352,2
353,2
354,1
355,3
356,1
357,1
358,2
359,1
360,1
361,3
362,3
363,1
364,2
365,4
366,1
367,3
368,3
369,1
370,1
371,1
372,4
373,1
374,1
375,1
376,1
377,2
378,1
379,1
380,2
381,1
382,4
383,2
384,1
385,1
386,1
387,0
388,2
389,1
390,3
391,4
392,4
393,3
394,1
395,1
396,1
397,2
398,2
399,1
400,2
401,1
402,2
403,1
404,4
405,4
406,1
407,1
408,3
409,1
410,3
411,2
412,4
413,4
414,4
415,2
416,1
417,2
418,2
419,4
420,1
421,2
422,2
423,1
424,1
425,2
426,1
427,1
428,2
429,1
430,3
431,5
432,1
433,4
434,2
435,1
436,3
437,1
438,2
439,3
440,1
441,1
442,4
443,1
444,4
445,1
446,2
447,2
448,1
449,4
450,2
451,5
452,5
453,3
454,2
455,1
456,1
457,1
458,2
459,2
460,1
461,1
462,1
463,5
464,1
465,1
466,1
467,5
468,4
469,1
470,2
471,4
472,1
473,3
474,1
475,4
476,3
477,2
478,2
479,3
480,2
481,5
482,2
483,1
484,5
485,3
486,4
487,1
488,1
489,1
490,3
491,1
492,1
493,1
494,2
495,4
496,3
497,3
498,2
499,1
500,1
501,4
502,3
503,1
504,3
505,2
506,1
507,0
508,1
509,3
510,4
511,4
512,5
513,2
514,4
515,1
516,4
517,3
518,2
519,2
520,3
521,1
522,1
523,4
524,1
525,1
526,1
527,3
528,3
529,5
530,1
531,3
532,3
533,0
534,2
535,1
536,4
537,4
538,1
539,1
540,5
541,3
542,4
543,2
544,3
545,1
546,1
547,1
548,2
549,2
550,1
551,1
552,3
553,2
554,3
555,1
556,1
557,3
558,1
559,3
560,1
561,4
562,2
563,2
564,2
565,1
566,5
567,3
568,3
569,1
570,1
571,1
572,5
573,5
574,1
575,1
576,1
577,2
578,4
579,1
580,5
581,1
582,4
583,5
584,4
585,4
586,5
587,1
588,3
589,1
590,3
591,5
592,5
593,1
594,2
595,2
596,5
597,5
598,2
599,2
600,3
601,1
602,1
603,5
604,3
605,1
606,2
607,2
608,4
609,1
610,2
611,3
612,5
613,1
614,2
615,1
616,1
617,3
618,1
619,2
620,5
621,3
622,3
623,3
624,1
625,2
626,4
627,1
628,4
629,2
630,1
631,2
632,1
633,4
634,1
635,3
636,3
637,1
638,3
639,1
640,4
641,3
642,1
643,1
644,1
645,1
646,3
647,1
648,3
649,4
650,4
651,1
652,4
653,1
654,3
655,1
656,1
657,1
658,1
659,3
660,5
661,2
662,2
663,2
664,1
665,4
666,1
667,1
668,1
669,1
670,3
671,4
672,2
673,3
674,1
675,2
676,2
677,1
678,1
679,5
680,1
681,1
682,2
683,2
684,1
685,1
686,5
687,3
688,5
689,1
690,2
691,3
692,2
693,2
694,4
695,3
696,4
697,1
698,2
699,2
700,3
701,4
702,2
703,1
704,1
705,4
706,1
707,1
708,3
709,3
710,1
711,3
712,4
713,3
714,2
715,3
716,1
717,2
718,1
719,1
720,5
721,3
722,2
723,2
724,1
725,1
726,2
727,1
728,3
729,1
730,4
731,2
732,1
733,4
734,4
735,1
736,1
737,2
738,1
739,1
740,1
741,5
742,1
743,3
744,2
745,2
746,1
747,2
748,1
749,4
750,2
751,5
752,1
753,2
754,1
755,4
756,2
757,2
758,1
759,3
760,3
761,5
762,1
763,4
764,2
765,1
766,3
767,1
768,2
769,1
770,2
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,3
779,3
780,1
781,4
782,3
783,5
784,3
785,3
786,1
787,3
788,4
789,1
790,3
791,1
792,4
793,1
794,5
795,3
796,2
797,1
798,3
799,2
800,3
801,5
802,1
803,4
804,1
805,5
806,2
807,2
808,2
809,1
810,3
811,1
812,4
813,3
814,1
815,3
816,5
817,1
818,1
819,0
820,2
821,3
822,2
823,2
824,3
825,2
826,1
827,3
828,1
829,4
830,1
831,1
832,5
833,1
834,2
835,1
836,5
837,4
838,1
839,1
840,1
841,1
842,3
843,4
844,2
845,4
846,2
847,2
848,3
849,3
850,1
851,4
852,2
853,2
854,3
855,1
856,3
857,2
858,3
859,3
860,3
861,1
862,5
863,1
864,1
865,3
866,1
867,3
868,1
869,2
870,3
871,3
872,2
873,4
874,1
875,2
876,4
877,5
878,4
879,3
880,1
881,3
882,2
883,3
884,2
885,1
886,1
887,4
888,1
889,1
890,3
891,3
892,3
893,1
894,2
895,4
896,4
897,1
898,2
899,3
900,4
901,1
902,1
903,1
904,5
905,1
906,3
907,4
908,1
909,1
910,1
911,3
912,4
913,5
914,3
915,1
916,5
917,3
918,3
919,1
920,1
921,4
922,3
923,5
924,2
925,4
926,2
927,3
928,4
929,2
930,1
931,2
932,3
933,1
934,1
935,2
936,1
937,1
938,4
939,2
940,2
941,1
942,1
943,1
944,1
945,1
946,5
947,1
948,1
949,3
950,3
951,1
952,2
953,3
954,1
955,3
956,1
957,3
958,1
959,1
960,1
961,2
962,1
