,cluster_id
0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
14,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
23,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
24,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
