,cluster_id
0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
19,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
22,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
23,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
24,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
38,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
40,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
41,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
42,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
43,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
44,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
47,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
51,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
56,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
61,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
62,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
63,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
66,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
69,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
70,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
73,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
77,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
79,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
81,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
82,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
83,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
84,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
88,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
89,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
91,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
96,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
97,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
98,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
99,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
