,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,2,89.41289,2959,14,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
1,10,89.41289,3942,10,0,4361.65569,21,4360.02998,0,4505.45205,-1,4361.01306
2,2,89.41289,2916,10,0,4361.65569,21,4360.02998,0,4505.45205,-1,4361.01306
3,9,89.41289,3350,4,0,4361.65569,31,4360.02998,0,4505.45205,-1,4361.01306
4,10,89.41289,2540,2,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
5,9,89.41289,3232,10,0,4361.65569,39,4360.02998,0,4505.45205,-1,4361.01306
6,2,89.41289,3222,11,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
7,4,89.41289,3607,15,5,4361.65569,47,4360.02998,0,4505.45205,-1,4361.01306
8,5,89.41289,3353,12,0,4361.65569,0,4360.02998,0,4505.45205,-1,4361.01306
9,4,89.41289,2865,0,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
10,2,89.41289,2567,11,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
11,10,89.41289,2630,9,5,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
12,2,89.41289,3987,5,5,4361.65569,43,4360.02998,0,4505.45205,-1,4361.01306
13,2,89.41289,3106,5,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
14,2,89.41289,3680,11,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
15,9,89.41289,2890,1,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
16,2,89.41289,3187,9,0,4361.65569,30,4360.02998,0,4505.45205,-1,4361.01306
17,10,89.41289,3059,11,0,4361.65569,21,4360.02998,0,4505.45205,-1,4361.01306
18,9,89.41289,3377,14,0,4361.65569,39,4360.02998,0,4505.45205,-1,4361.01306
19,10,89.41289,2869,6,5,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
20,10,89.41289,2635,10,0,4361.65569,39,4360.02998,0,4505.45205,-1,4361.01306
21,10,89.41289,3449,0,0,4361.65569,47,4360.02998,0,4505.45205,-1,4361.01306
22,10,89.41289,3159,9,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
23,2,89.41289,4252,14,0,4361.65569,11,4360.02998,0,4505.45205,-1,4361.01306
24,2,89.41289,3655,14,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
25,5,89.41289,3702,15,0,4361.65569,47,4360.02998,0,4505.45205,-1,4361.01306
26,4,89.41289,2732,6,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
27,12,89.41289,2641,5,0,4361.65569,30,4360.02998,0,4505.45205,-1,4361.01306
28,4,89.41289,2866,14,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
29,8,89.41289,2822,0,0,4361.65569,0,4360.02998,0,4505.45205,-1,4361.01306
30,12,89.41289,4472,9,8,4361.65569,1,4360.02998,0,4505.45205,-1,4361.01306
31,2,89.41289,3523,14,0,4361.65569,2,4360.02998,0,4505.45205,-1,4361.01306
32,9,89.41289,2860,6,0,4361.65569,3,4360.02998,0,4505.45205,-1,4361.01306
33,2,89.41289,2448,5,5,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
34,7,89.41289,3102,5,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
35,10,89.41289,3042,6,0,4361.65569,4,4360.02998,0,4505.45205,-1,4361.01306
36,2,89.41289,2489,5,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
37,10,89.41289,2875,0,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
38,2,89.41289,2415,2,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
39,7,89.41289,2563,5,0,4361.65569,24,4360.02998,0,4505.45205,-1,4361.01306
40,10,89.41289,3245,5,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
41,10,89.41289,3710,11,0,4361.65569,39,4360.02998,0,4505.45205,-1,4361.01306
42,4,89.41289,2957,0,0,4361.65569,47,4360.02998,0,4505.45205,-1,4361.01306
43,10,89.41289,2965,5,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
44,12,89.41289,3269,11,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
45,10,89.41289,3644,11,0,4361.65569,39,4360.02998,0,4505.45205,-1,4361.01306
46,4,89.41289,2718,6,0,4361.65569,21,4360.02998,0,4505.45205,-1,4361.01306
47,10,89.41289,3171,5,4,4361.65569,5,4360.02998,0,4505.45205,-1,4361.01306
48,10,89.41289,3554,9,0,4361.65569,30,4360.02998,0,4505.45205,-1,4361.01306
49,2,89.41289,2504,8,0,4361.65569,21,4360.02998,0,4505.45205,-1,4361.01306
50,2,89.41289,2704,5,0,4361.65569,30,4360.02998,0,4505.45205,-1,4361.01306
51,7,89.41289,3103,15,0,4361.65569,47,4360.02998,0,4505.45205,-1,4361.01306
52,10,89.41289,2811,0,0,4361.65569,47,4360.02998,0,4505.45205,-1,4361.01306
53,10,89.41289,3346,15,4,4361.65569,6,4360.02998,0,4505.45205,-1,4361.01306
54,9,89.41289,4381,12,0,4361.65569,31,4360.02998,0,4505.45205,-1,4361.01306
55,4,89.41289,2461,2,0,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
56,2,89.41289,3587,11,0,4361.65569,21,4360.02998,0,4505.45205,-1,4361.01306
57,2,89.41289,3775,15,0,4361.65569,47,4360.02998,0,4505.45205,-1,4361.01306
58,4,89.41289,3208,0,4,4361.65569,6,4360.02998,0,4505.45205,-1,4361.01306
59,2,89.41289,2445,5,5,4361.65569,8,4360.02998,0,4505.45205,-1,4361.01306
60,9,89.41289,3747,1,0,4361.65569,39,4360.02998,0,4505.45205,-1,4361.01306
61,7,89.41289,3268,3,0,4361.65569,31,4360.02998,0,4505.45205,-1,4361.01306
62,9,89.41289,4021,13,0,4361.65569,21,4360.02998,0,4505.45205,-1,4361.01306
63,10,89.41289,2639,9,5,4361.65569,53,4360.02998,0,4505.45205,-1,4361.01306
64,9,89.41289,3897,14,0,4361.65569,29,4360.02998,0,4505.45205,-1,4361.01306
