,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,7,27.64488,3,1,4,3334.55942,219,3219.18243,8,3237.45481,-1,3352.46081
1,7,27.64488,3,1,4,3334.55942,80,3219.18243,4,3237.45481,-1,3352.46081
2,5,27.64488,2,1,8,3334.55942,102,3219.18243,3,3237.45481,-1,3352.46081
3,7,27.64488,2,1,4,3334.55942,123,3219.18243,6,3237.45481,-1,3352.46081
4,3,27.64488,4,0,2,3334.55942,180,3219.18243,7,3237.45481,-1,3352.46081
5,3,27.64488,3,0,3,3334.55942,31,3219.18243,0,3237.45481,-1,3352.46081
6,1,27.64488,7,1,6,3334.55942,70,3219.18243,1,3237.45481,-1,3352.46081
7,8,27.64488,4,1,1,3334.55942,37,3219.18243,1,3237.45481,-1,3352.46081
8,0,27.64488,2,1,7,3334.55942,161,3219.18243,4,3237.45481,-1,3352.46081
9,6,27.64488,3,0,8,3334.55942,175,3219.18243,3,3237.45481,-1,3352.46081
10,5,27.64488,2,0,2,3334.55942,168,3219.18243,7,3237.45481,-1,3352.46081
11,7,27.64488,4,1,4,3334.55942,16,3219.18243,6,3237.45481,-1,3352.46081
12,6,27.64488,4,1,8,3334.55942,34,3219.18243,3,3237.45481,-1,3352.46081
13,7,27.64488,2,1,8,3334.55942,166,3219.18243,1,3237.45481,-1,3352.46081
14,7,27.64488,2,1,4,3334.55942,0,3219.18243,1,3237.45481,-1,3352.46081
15,3,27.64488,4,1,2,3334.55942,223,3219.18243,8,3237.45481,-1,3352.46081
16,6,27.64488,4,1,8,3334.55942,72,3219.18243,3,3237.45481,-1,3352.46081
17,8,27.64488,2,1,8,3334.55942,166,3219.18243,3,3237.45481,-1,3352.46081
18,1,27.64488,5,1,3,3334.55942,211,3219.18243,2,3237.45481,-1,3352.46081
19,6,27.64488,2,1,2,3334.55942,222,3219.18243,7,3237.45481,-1,3352.46081
20,2,27.64488,3,0,4,3334.55942,137,3219.18243,6,3237.45481,-1,3352.46081
21,1,27.64488,2,0,3,3334.55942,121,3219.18243,0,3237.45481,-1,3352.46081
22,5,27.64488,6,1,6,3334.55942,170,3219.18243,2,3237.45481,-1,3352.46081
23,7,27.64488,2,1,4,3334.55942,0,3219.18243,1,3237.45481,-1,3352.46081
24,6,27.64488,2,1,2,3334.55942,222,3219.18243,7,3237.45481,-1,3352.46081
25,7,27.64488,2,1,4,3334.55942,1,3219.18243,8,3237.45481,-1,3352.46081
26,3,27.64488,4,0,2,3334.55942,154,3219.18243,6,3237.45481,-1,3352.46081
27,2,27.64488,2,0,0,3334.55942,65,3219.18243,4,3237.45481,-1,3352.46081
28,1,27.64488,4,1,3,3334.55942,112,3219.18243,6,3237.45481,-1,3352.46081
29,1,27.64488,4,1,1,3334.55942,2,3219.18243,1,3237.45481,-1,3352.46081
30,7,27.64488,2,0,1,3334.55942,111,3219.18243,1,3237.45481,-1,3352.46081
31,6,27.64488,3,1,8,3334.55942,107,3219.18243,3,3237.45481,-1,3352.46081
32,6,27.64488,2,0,8,3334.55942,33,3219.18243,3,3237.45481,-1,3352.46081
33,6,27.64488,4,0,2,3334.55942,196,3219.18243,6,3237.45481,-1,3352.46081
34,7,27.64488,3,1,8,3334.55942,34,3219.18243,3,3237.45481,-1,3352.46081
35,1,27.64488,2,1,6,3334.55942,169,3219.18243,2,3237.45481,-1,3352.46081
36,1,27.64488,2,1,6,3334.55942,205,3219.18243,1,3237.45481,-1,3352.46081
37,8,27.64488,3,1,5,3334.55942,86,3219.18243,5,3237.45481,-1,3352.46081
38,8,27.64488,5,1,5,3334.55942,3,3219.18243,5,3237.45481,-1,3352.46081
39,8,27.64488,4,1,5,3334.55942,86,3219.18243,5,3237.45481,-1,3352.46081
40,1,27.64488,3,0,6,3334.55942,169,3219.18243,2,3237.45481,-1,3352.46081
41,1,27.64488,2,1,6,3334.55942,169,3219.18243,2,3237.45481,-1,3352.46081
42,8,27.64488,5,1,5,3334.55942,3,3219.18243,5,3237.45481,-1,3352.46081
43,8,27.64488,2,1,8,3334.55942,102,3219.18243,3,3237.45481,-1,3352.46081
44,8,27.64488,2,1,5,3334.55942,6,3219.18243,5,3237.45481,-1,3352.46081
45,8,27.64488,6,1,5,3334.55942,86,3219.18243,5,3237.45481,-1,3352.46081
46,5,27.64488,2,1,8,3334.55942,34,3219.18243,3,3237.45481,-1,3352.46081
47,8,27.64488,2,1,5,3334.55942,23,3219.18243,5,3237.45481,-1,3352.46081
48,7,27.64488,2,1,4,3334.55942,50,3219.18243,0,3237.45481,-1,3352.46081
49,4,27.64488,3,1,1,3334.55942,4,3219.18243,1,3237.45481,-1,3352.46081
50,5,27.64488,3,0,2,3334.55942,22,3219.18243,6,3237.45481,-1,3352.46081
51,7,27.64488,3,1,4,3334.55942,194,3219.18243,4,3237.45481,-1,3352.46081
52,7,27.64488,4,1,3,3334.55942,167,3219.18243,0,3237.45481,-1,3352.46081
53,3,27.64488,3,0,2,3334.55942,107,3219.18243,8,3237.45481,-1,3352.46081
54,1,27.64488,2,1,6,3334.55942,5,3219.18243,2,3237.45481,-1,3352.46081
55,8,27.64488,2,1,2,3334.55942,59,3219.18243,7,3237.45481,-1,3352.46081
56,6,27.64488,6,0,8,3334.55942,72,3219.18243,3,3237.45481,-1,3352.46081
57,3,27.64488,4,0,2,3334.55942,154,3219.18243,6,3237.45481,-1,3352.46081
58,7,27.64488,2,1,3,3334.55942,181,3219.18243,3,3237.45481,-1,3352.46081
59,5,27.64488,2,0,2,3334.55942,110,3219.18243,8,3237.45481,-1,3352.46081
60,2,27.64488,5,0,2,3334.55942,28,3219.18243,6,3237.45481,-1,3352.46081
61,6,27.64488,2,0,8,3334.55942,235,3219.18243,3,3237.45481,-1,3352.46081
62,0,27.64488,2,0,8,3334.55942,33,3219.18243,3,3237.45481,-1,3352.46081
63,7,27.64488,3,0,1,3334.55942,118,3219.18243,1,3237.45481,-1,3352.46081
64,6,27.64488,2,0,8,3334.55942,144,3219.18243,3,3237.45481,-1,3352.46081
65,7,27.64488,2,1,5,3334.55942,6,3219.18243,5,3237.45481,-1,3352.46081
66,7,27.64488,3,1,1,3334.55942,221,3219.18243,1,3237.45481,-1,3352.46081
67,7,27.64488,2,1,4,3334.55942,50,3219.18243,6,3237.45481,-1,3352.46081
68,2,27.64488,3,0,0,3334.55942,7,3219.18243,4,3237.45481,-1,3352.46081
69,2,27.64488,2,0,3,3334.55942,8,3219.18243,4,3237.45481,-1,3352.46081
70,8,27.64488,2,1,5,3334.55942,67,3219.18243,5,3237.45481,-1,3352.46081
71,7,27.64488,3,1,4,3334.55942,123,3219.18243,0,3237.45481,-1,3352.46081
72,3,27.64488,5,0,2,3334.55942,26,3219.18243,8,3237.45481,-1,3352.46081
73,1,27.64488,5,1,6,3334.55942,71,3219.18243,0,3237.45481,-1,3352.46081
74,6,27.64488,2,1,8,3334.55942,224,3219.18243,3,3237.45481,-1,3352.46081
75,7,27.64488,2,0,4,3334.55942,123,3219.18243,6,3237.45481,-1,3352.46081
76,3,27.64488,2,0,2,3334.55942,154,3219.18243,0,3237.45481,-1,3352.46081
